id,margin_id,metal_purity_id,rate
metal_102,ORET,9K,1.47
metal_103,ORET,ALL,1.4076
metal_104,ORET,B,4.75
metal_105,ORET,ALL,1.3
metal_106,ORET,ALL,1.3
metal_107,UK,10K,2.32
metal_108,UK,14K,2.28
metal_109,UK,18K,2.24
metal_110,UK,22K,2.2
metal_111,UK,24K,2.17
metal_112,UK,925,2.62
metal_113,UK,955,3.02
metal_114,UK,9K,2.34
metal_115,UK,ALL,2.51
metal_116,UK,B,3.8
metal_117,W10,10K,1.34
metal_118,W10,14K,1.32
metal_119,W10,18K,1.3
metal_120,W10,22K,1.287
metal_121,W10,24K,1.25
metal_122,W10,925,1.65
metal_123,W10,955,1.75
metal_124,W10,9K,1.35
metal_125,W10,ALL,1.298
metal_126,W10,B,3.3
metal_127,W10,ALL,1.375
metal_128,W10,ALL,1.375
metal_129,W15,10K,1.4
metal_130,W15,14K,1.38
metal_131,W15,18K,1.36
metal_132,W15,22K,1.33
metal_133,W15,24K,1.31
metal_134,W15,925,1.59
metal_135,W15,955,1.84
metal_136,W15,9K,1.41
metal_137,W15,ALL,1.357
metal_138,W15,B,2.3
metal_139,W15,ALL,1.4375
metal_140,W15,ALL,1.4375
metal_141,W20,10K,1.46
metal_142,W20,14K,1.44
metal_143,W20,18K,1.42
metal_144,W20,22K,1.39
metal_145,W20,24K,1.37
metal_146,W20,925,1.66
metal_147,W20,955,1.92
metal_148,W20,9K,1.48
metal_149,W20,ALL,1.416
metal_150,W20,B,2.4
metal_151,W3,10K,1.26
metal_152,W3,14K,1.24
metal_153,W3,18K,1.22
metal_154,W3,22K,1.19
metal_155,W3,24K,1.17
metal_156,W3,925,1.42
metal_157,W3,955,1.65
metal_158,W3,9K,1.27
metal_159,W3,ALL,1.2154
metal_160,W3,B,2.06
metal_161,W3,ALL,1.2875
metal_162,W3,ALL,1.2875
metal_163,W30,10K,1.59
metal_164,W30,14K,1.56
metal_165,W30,18K,1.53
metal_166,W30,22K,1.51
metal_167,W30,24K,1.48
metal_168,W30,925,1.79
metal_169,W30,955,2.07
metal_170,W30,9K,1.6
metal_171,W30,ALL,1.534
metal_172,W30,B,2.6
metal_173,W5,10K,1.28
metal_174,W5,14K,1.26
metal_175,W5,18K,1.24
metal_176,W5,22K,1.22
metal_177,W5,24K,1.2
metal_178,W5,925,1.45
metal_179,W5,955,1.67
metal_180,W5,9K,1.29
metal_181,W5,ALL,1.239
metal_182,W5,B,2.1
metal_183,WHO,10K,1.22
metal_184,WHO,14K,1.2
metal_185,WHO,18K,1.18
metal_186,WHO,22K,1.16
metal_187,WHO,24K,1.14
metal_188,WHO,925,1.38
metal_189,WHO,955,1.6
metal_190,WHO,9K,1.23
metal_191,WHO,ALL,1.18
metal_192,WHO,B,2.0
metal_193,WHO,ALL,1.25
metal_194,WHO,ALL,1.25
